"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ACER\Downloads\travelogue_fyp\backend\app.js", "JavaScript", 0, 24, 0, 0, 0, 3, 7, 34
"c:\Users\ACER\Downloads\travelogue_fyp\backend\config\database.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\ACER\Downloads\travelogue_fyp\backend\controllers\orderController.js", "JavaScript", 0, 104, 0, 0, 0, 6, 26, 136
"c:\Users\ACER\Downloads\travelogue_fyp\backend\controllers\paymentController.js", "JavaScript", 0, 21, 0, 0, 0, 0, 7, 28
"c:\Users\ACER\Downloads\travelogue_fyp\backend\controllers\productController.js", "JavaScript", 0, 209, 0, 0, 0, 12, 52, 273
"c:\Users\ACER\Downloads\travelogue_fyp\backend\controllers\transportAgencyController.js", "JavaScript", 0, 202, 0, 0, 0, 11, 42, 255
"c:\Users\ACER\Downloads\travelogue_fyp\backend\controllers\userController.js", "JavaScript", 0, 246, 0, 0, 0, 15, 61, 322
"c:\Users\ACER\Downloads\travelogue_fyp\backend\middlewares\auth.js", "JavaScript", 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\ACER\Downloads\travelogue_fyp\backend\middlewares\catchAsyncErrors.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\ACER\Downloads\travelogue_fyp\backend\middlewares\error.js", "JavaScript", 0, 25, 0, 0, 0, 4, 10, 39
"c:\Users\ACER\Downloads\travelogue_fyp\backend\models\orderModel.js", "JavaScript", 0, 86, 0, 0, 0, 0, 3, 89
"c:\Users\ACER\Downloads\travelogue_fyp\backend\models\productModel.js", "JavaScript", 0, 120, 0, 0, 0, 100, 7, 227
"c:\Users\ACER\Downloads\travelogue_fyp\backend\models\transportAgencyModel.js", "JavaScript", 0, 87, 0, 0, 0, 0, 3, 90
"c:\Users\ACER\Downloads\travelogue_fyp\backend\models\userModel.js", "JavaScript", 0, 124, 0, 0, 0, 5, 10, 139
"c:\Users\ACER\Downloads\travelogue_fyp\backend\routes\orderRoute.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\ACER\Downloads\travelogue_fyp\backend\routes\paymentRoute.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ACER\Downloads\travelogue_fyp\backend\routes\productRoute.js", "JavaScript", 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\ACER\Downloads\travelogue_fyp\backend\routes\transportAgencyRoute.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\ACER\Downloads\travelogue_fyp\backend\routes\userRoutes.js", "JavaScript", 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\ACER\Downloads\travelogue_fyp\backend\server.js", "JavaScript", 0, 28, 0, 0, 0, 3, 11, 42
"c:\Users\ACER\Downloads\travelogue_fyp\backend\utils\apifeatures.js", "JavaScript", 0, 25, 0, 0, 0, 10, 11, 46
"c:\Users\ACER\Downloads\travelogue_fyp\backend\utils\errorhandler.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\ACER\Downloads\travelogue_fyp\backend\utils\jwtToken.js", "JavaScript", 0, 15, 0, 0, 0, 2, 5, 22
"c:\Users\ACER\Downloads\travelogue_fyp\backend\utils\sendEmail.js", "JavaScript", 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\package-lock.json", "JSON", 19418, 0, 0, 0, 0, 0, 1, 19419
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\package.json", "JSON", 66, 0, 0, 0, 0, 0, 1, 67
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\public\index.html", "HTML", 0, 0, 0, 0, 30, 5, 16, 51
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\App.css", "CSS", 0, 0, 18, 0, 0, 5, 4, 27
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\App.js", "JavaScript", 0, 308, 0, 0, 0, 5, 16, 329
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\Layout.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\actions\cartActions.js", "JavaScript", 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\actions\orderActions.js", "JavaScript", 0, 81, 0, 0, 0, 3, 24, 108
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\actions\productActions.js", "JavaScript", 0, 164, 0, 0, 0, 6, 30, 200
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\actions\userActions.js", "JavaScript", 0, 171, 0, 0, 0, 4, 48, 223
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\actions\vehicleActions.js", "JavaScript", 0, 168, 0, 0, 0, 10, 32, 210
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\R1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\R2.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\R3.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\boxanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\boxanimations.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\cardetailedpagenimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\categoriesanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\detailedpage.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\drive.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\driving.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h3.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h4.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\locationanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\movingbus.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
